MsgID.LOCAL_POSITION,1496.7660000,2.9378021,0.0779041,-2.8768127
MsgID.LOCAL_VELOCITY,1496.7660000,5.1946421,-0.0241248,-0.0348366
MsgID.GLOBAL_POSITION,0.0000000,-122.3957421,37.7933229,2.8720000
MsgID.LOCAL_VELOCITY,0.0000000,6.1700000,-0.0400000,-0.1500000
MsgID.LOCAL_POSITION,1497.0160000,4.1708136,0.1934708,-2.8725383
MsgID.LOCAL_VELOCITY,1497.0160000,6.1785960,-0.0483304,-0.1556113
MsgID.GLOBAL_POSITION,0.0000000,-122.3957438,37.7933377,2.8750000
MsgID.LOCAL_VELOCITY,0.0000000,7.1500000,-0.1300000,-0.1400000
MsgID.LOCAL_POSITION,1497.2660000,5.8171186,0.0396165,-2.8752191
MsgID.LOCAL_VELOCITY,1497.2660000,7.1584020,-0.1346164,-0.1448819
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957443,37.7932853,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957447,37.7933552,2.8750000
MsgID.LOCAL_VELOCITY,0.0000000,7.3600000,-0.1000000,-0.1600000
MsgID.LOCAL_POSITION,1497.5160000,7.7622228,-0.0423192,-2.8750877
MsgID.LOCAL_VELOCITY,1497.5160000,7.3682075,-0.1012354,-0.1623126
MsgID.LOCAL_POSITION,1497.7670000,9.6128101,0.0068339,-2.8807845
MsgID.LOCAL_VELOCITY,1497.7670000,5.6933775,-0.0143611,-0.0884131
MsgID.GLOBAL_POSITION,0.0000000,-122.3957442,37.7933718,2.8800000
MsgID.LOCAL_VELOCITY,0.0000000,5.6900000,-0.0100000,-0.0800000
MsgID.LOCAL_POSITION,1498.0180000,10.6807003,0.0143569,-2.8767500
MsgID.LOCAL_VELOCITY,1498.0180000,4.0031166,-0.0035097,-0.0899414
MsgID.GLOBAL_POSITION,0.0000000,-122.3957441,37.7933814,2.8760000
MsgID.LOCAL_VELOCITY,0.0000000,4.0000000,0.0000000,-0.0800000
MsgID.LOCAL_POSITION,1498.2670000,11.4517050,-0.0258969,-2.8902764
MsgID.LOCAL_VELOCITY,1498.2670000,2.3874660,0.0073547,-0.0950391
MsgID.GLOBAL_POSITION,0.0000000,-122.3957446,37.7933884,2.8900000
MsgID.LOCAL_VELOCITY,0.0000000,2.3800000,0.0000000,-0.0900000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957443,37.7932853,0.0000000
MsgID.LOCAL_POSITION,1498.5180000,11.7989397,-0.0222233,-2.8963692
MsgID.LOCAL_VELOCITY,1498.5180000,1.0932188,0.0255228,0.0096951
MsgID.GLOBAL_POSITION,0.0000000,-122.3957445,37.7933915,2.8960000
MsgID.LOCAL_VELOCITY,0.0000000,1.0900000,0.0200000,0.0000000
MsgID.LOCAL_POSITION,1498.7680000,11.8922653,-0.0138000,-2.8919404
MsgID.LOCAL_VELOCITY,1498.7680000,-0.3660341,0.0394970,0.0058711
MsgID.GLOBAL_POSITION,0.0000000,-122.3957444,37.7933924,2.8910000
MsgID.LOCAL_VELOCITY,0.0000000,-0.3600000,0.0300000,0.0000000
MsgID.LOCAL_POSITION,1499.0170000,11.6505938,-0.0071152,-2.8961978
MsgID.LOCAL_VELOCITY,1499.0170000,-1.5507723,0.0442970,0.0059615
MsgID.GLOBAL_POSITION,0.0000000,-122.3957444,37.7933902,2.8960000
MsgID.LOCAL_VELOCITY,0.0000000,-1.5500000,0.0400000,0.0000000
MsgID.LOCAL_POSITION,1499.2690000,10.9767761,-0.0346927,-2.8994291
MsgID.LOCAL_VELOCITY,1499.2690000,-2.4655061,0.0474036,0.0086639
MsgID.GLOBAL_POSITION,0.0000000,-122.3957447,37.7933841,2.8990000
MsgID.LOCAL_VELOCITY,0.0000000,-2.4600000,0.0400000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957443,37.7932853,0.0000000
MsgID.LOCAL_POSITION,1499.5190000,10.5635157,0.0976378,-2.8940115
MsgID.LOCAL_VELOCITY,1499.5190000,-2.2645888,0.0563324,0.0486955
MsgID.GLOBAL_POSITION,0.0000000,-122.3957432,37.7933804,2.8940000
MsgID.LOCAL_VELOCITY,0.0000000,-2.2600000,0.0500000,0.0400000
MsgID.LOCAL_POSITION,1499.7690000,10.1878500,0.1551003,-2.8877850
MsgID.LOCAL_VELOCITY,1499.7690000,-1.5466517,-0.0398671,0.0441807
MsgID.GLOBAL_POSITION,0.0000000,-122.3957425,37.7933770,2.8870000
MsgID.LOCAL_VELOCITY,0.0000000,-1.5400000,-0.0300000,0.0400000
MsgID.LOCAL_POSITION,1500.0190000,9.9193316,0.1127148,-2.8938937
MsgID.LOCAL_VELOCITY,1500.0190000,-0.7918428,-0.0547414,-0.0481107
MsgID.GLOBAL_POSITION,0.0000000,-122.3957430,37.7933746,2.8930000
MsgID.LOCAL_VELOCITY,0.0000000,-0.7900000,-0.0500000,-0.0400000
MsgID.LOCAL_POSITION,1500.2690000,9.6310940,0.0742409,-2.8963664
MsgID.LOCAL_VELOCITY,1500.2690000,-0.3078963,-0.0323636,0.0491737
MsgID.GLOBAL_POSITION,0.0000000,-122.3957434,37.7933720,2.8960000
MsgID.LOCAL_VELOCITY,0.0000000,-0.3000000,-0.0300000,0.0400000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957443,37.7932853,0.0000000
MsgID.LOCAL_POSITION,1500.5200000,9.5007734,-0.0035762,-2.8898659
MsgID.LOCAL_VELOCITY,1500.5200000,-0.1409340,-0.0218910,-0.0123999
MsgID.GLOBAL_POSITION,0.0000000,-122.3957443,37.7933708,2.8890000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1400000,-0.0200000,-0.0100000
MsgID.LOCAL_POSITION,1500.7700000,9.5948887,-0.0352308,-2.8902185
MsgID.LOCAL_VELOCITY,1500.7700000,-0.0312451,-0.0078425,0.0361525
MsgID.GLOBAL_POSITION,0.0000000,-122.3957447,37.7933717,2.8900000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,0.0300000
